"Date","Time","Open","High","Low","Close","Up","Down"
09/20/2009,18:00,869.00,869.50,867.25,868.75,2762,3332
09/20/2009,19:00,868.75,870.25,868.50,869.75,1456,711
09/20/2009,20:00,869.50,870.50,869.50,869.50,1143,911
09/20/2009,21:00,869.50,869.50,868.00,868.50,920,1660
09/20/2009,22:00,868.75,870.25,868.00,868.75,1479,1677
09/20/2009,23:00,868.75,869.00,867.50,867.75,772,1411
09/21/2009,00:00,867.50,869.25,867.50,869.00,886,512
09/21/2009,01:00,869.00,869.50,868.00,869.50,1112,1048
09/21/2009,02:00,869.25,870.00,866.75,868.25,3622,3876
09/21/2009,03:00,868.00,868.50,864.25,864.75,9383,15627
09/21/2009,04:00,864.75,866.25,863.25,863.25,11299,12768
09/21/2009,05:00,863.50,864.00,861.75,863.25,9370,8993
09/21/2009,06:00,863.25,864.75,862.25,864.00,7631,5739
09/21/2009,07:00,864.00,865.75,863.50,864.00,9744,8241
09/21/2009,08:00,864.00,865.25,861.25,864.00,24112,29315
09/21/2009,09:00,864.00,867.75,862.50,863.25,119858,132093
09/21/2009,10:00,863.25,867.00,861.75,865.75,169875,151478
09/21/2009,11:00,865.50,871.25,865.50,870.00,147907,113577
09/21/2009,12:00,870.00,870.75,867.75,868.50,43425,44636
09/21/2009,13:00,868.50,870.00,867.00,869.25,47753,37952
09/21/2009,14:00,869.50,870.75,867.75,869.25,74266,67321
09/21/2009,15:00,869.25,872.50,867.25,869.75,144676,140638
09/21/2009,16:00,870.00,870.75,868.25,869.50,41546,41530
09/21/2009,18:00,869.75,870.00,869.25,870.00,802,788
09/21/2009,19:00,870.00,871.25,869.25,870.75,3043,807
09/21/2009,20:00,870.75,871.75,870.25,871.00,1478,1228
09/21/2009,21:00,871.00,871.75,870.50,870.75,810,1086
09/21/2009,22:00,870.75,872.50,870.50,872.25,2504,910
09/21/2009,23:00,872.00,872.25,871.75,872.25,552,497
09/22/2009,00:00,872.25,872.50,871.50,872.00,532,453
09/22/2009,01:00,872.00,872.25,871.50,871.50,257,621
09/22/2009,02:00,871.75,873.25,871.50,872.50,4172,3043
09/22/2009,03:00,872.75,878.50,872.50,877.50,21690,11545
09/22/2009,04:00,877.50,878.25,877.00,877.25,6524,6420
09/22/2009,05:00,877.25,877.75,876.25,876.75,6324,5285
09/22/2009,06:00,876.75,878.75,876.75,878.00,8838,5627
09/22/2009,07:00,878.25,878.25,877.00,877.25,6896,7556
09/22/2009,08:00,877.25,877.75,876.00,876.00,14172,16966
09/22/2009,09:00,876.25,877.25,873.00,873.50,105608,109877
09/22/2009,10:00,873.50,875.75,871.25,873.50,144636,152162
09/22/2009,11:00,873.50,876.50,873.25,876.00,69301,69321
09/22/2009,12:00,876.00,878.75,875.75,877.00,73259,63986
09/22/2009,13:00,877.00,879.00,874.75,876.25,65539,68026
09/22/2009,14:00,876.25,877.75,875.25,877.75,49267,44674
09/22/2009,15:00,877.75,878.50,875.25,876.25,98762,94515
09/22/2009,16:00,876.00,877.25,875.75,876.50,33258,27780
09/22/2009,18:00,876.25,878.00,876.25,877.25,1817,843
09/22/2009,19:00,877.25,878.00,877.00,877.50,504,638
09/22/2009,20:00,877.25,877.50,875.25,875.75,1323,3548
09/22/2009,21:00,875.75,875.75,873.50,875.00,1443,3075
09/22/2009,22:00,874.75,876.00,874.00,875.50,1514,1687
09/22/2009,23:00,875.50,876.50,875.50,876.25,994,943
09/23/2009,00:00,876.00,877.25,875.75,876.75,1000,402
09/23/2009,01:00,877.00,877.50,876.75,877.00,1223,679
09/23/2009,02:00,877.25,877.25,875.00,876.25,3257,3981
09/23/2009,03:00,876.25,880.25,875.50,880.00,15067,7364
09/23/2009,04:00,880.00,880.25,878.25,879.00,6879,5245
09/23/2009,05:00,879.00,880.00,875.75,876.50,6480,9980
09/23/2009,06:00,876.50,878.25,876.25,877.75,5317,4386
09/23/2009,07:00,877.50,880.25,877.50,879.25,8592,5255
09/23/2009,08:00,879.25,879.75,878.50,879.00,10580,8161
09/23/2009,09:00,879.00,879.75,875.00,875.50,84398,117787
09/23/2009,10:00,875.25,877.75,872.00,874.25,124865,146963
09/23/2009,11:00,874.50,876.25,872.75,876.25,63717,52645
09/23/2009,12:00,876.25,878.50,876.00,878.50,46700,42855
09/23/2009,13:00,878.25,879.50,876.75,878.75,40368,36590
09/23/2009,14:00,878.75,885.50,876.75,879.00,221259,212514
09/23/2009,15:00,879.00,882.25,865.00,866.25,299589,381065
09/23/2009,16:00,866.25,870.25,866.25,867.75,78847,58547
09/23/2009,18:00,867.25,867.25,866.75,866.75,1583,1275
09/23/2009,19:00,867.00,867.50,866.25,867.25,1560,2260
09/23/2009,20:00,867.25,870.75,866.50,870.50,9259,6088
09/23/2009,21:00,870.50,870.50,868.75,870.00,1726,2373
09/23/2009,22:00,870.00,870.50,868.25,868.25,1639,3013
09/23/2009,23:00,868.50,868.50,865.75,865.75,3087,5160
09/24/2009,00:00,865.75,866.00,862.00,862.50,3292,6987
09/24/2009,01:00,862.75,866.50,862.50,866.25,6261,3042
09/24/2009,02:00,866.25,868.25,865.00,867.75,8517,6072
09/24/2009,03:00,867.75,868.25,862.25,864.50,15585,16324
09/24/2009,04:00,864.50,866.25,862.50,865.75,9822,12315
09/24/2009,05:00,865.75,870.50,865.50,869.50,13689,10530
09/24/2009,06:00,869.50,869.75,866.25,866.75,7609,10780
09/24/2009,07:00,866.75,869.25,866.00,868.75,11148,8594
09/24/2009,08:00,869.00,873.75,867.50,872.25,47507,36968
09/24/2009,09:00,872.50,872.75,866.25,867.00,119671,118705
09/24/2009,10:00,866.75,867.50,853.00,856.75,282062,343516
09/24/2009,11:00,857.00,858.75,854.00,855.75,92088,101441
09/24/2009,12:00,855.50,856.75,853.00,853.50,61055,58017
09/24/2009,13:00,853.50,857.00,851.25,853.00,84884,93882
